Month,Day,Year,Start (ET),Visitor,Visitor PTS,Home,Home PTS,Score,,Notes
Fri Dec 1 2017,8:00 pm,Sacramento Kings,,Chicago Bulls,,,,
Fri Dec 1 2017,8:00 pm,San Antonio Spurs,,Memphis Grizzlies,,,,
Fri Dec 1 2017,8:00 pm,Charlotte Hornets,,Miami Heat,,,,
Fri Dec 1 2017,8:00 pm,Minnesota Timberwolves,,Oklahoma City Thunder,,,,
Fri Dec 1 2017,7:00 pm,Golden State Warriors,,Orlando Magic,,,,
Fri Dec 1 2017,7:30 pm,Indiana Pacers,,Toronto Raptors,,,,
Fri Dec 1 2017,9:00 pm,New Orleans Pelicans,,Utah Jazz,,,,
Fri Dec 1 2017,7:00 pm,Detroit Pistons,,Washington Wizards,,,,
Sat Dec 2 2017,1:00 pm,Phoenix Suns,,Boston Celtics,,,,
Sat Dec 2 2017,3:00 pm,Atlanta Hawks,,Brooklyn Nets,,,,
Sat Dec 2 2017,7:30 pm,Memphis Grizzlies,,Cleveland Cavaliers,,,,
Sat Dec 2 2017,2:00 pm,Los Angeles Clippers,,Dallas Mavericks,,,,
Sat Dec 2 2017,9:00 pm,Los Angeles Lakers,,Denver Nuggets,,,,
Sat Dec 2 2017,8:30 pm,Sacramento Kings,,Milwaukee Bucks,,,,
Sat Dec 2 2017,7:30 pm,Detroit Pistons,,Philadelphia 76ers,,,,
Sat Dec 2 2017,10:00 pm,New Orleans Pelicans,,Portland Trail Blazers,,,,
Sun Dec 3 2017,9:30 pm,Houston Rockets,,Los Angeles Lakers,,,,
Sun Dec 3 2017,7:00 pm,Golden State Warriors,,Miami Heat,,,,
Sun Dec 3 2017,7:00 pm,Los Angeles Clippers,,Minnesota Timberwolves,,,,
Sun Dec 3 2017,3:30 pm,Orlando Magic,,New York Knicks,,,,
Sun Dec 3 2017,7:00 pm,San Antonio Spurs,,Oklahoma City Thunder,,,,
Mon Dec 4 2017,7:30 pm,Brooklyn Nets,,Atlanta Hawks,,,,
Mon Dec 4 2017,7:30 pm,Milwaukee Bucks,,Boston Celtics,,,,
Mon Dec 4 2017,8:00 pm,Cleveland Cavaliers,,Chicago Bulls,,,,
Mon Dec 4 2017,7:00 pm,Orlando Magic,,Charlotte Hornets,,,,
Mon Dec 4 2017,8:30 pm,Denver Nuggets,,Dallas Mavericks,,,,
Mon Dec 4 2017,7:00 pm,New York Knicks,,Indiana Pacers,,,,
Mon Dec 4 2017,8:00 pm,Minnesota Timberwolves,,Memphis Grizzlies,,,,
Mon Dec 4 2017,8:00 pm,Golden State Warriors,,New Orleans Pelicans,,,,
Mon Dec 4 2017,7:00 pm,Phoenix Suns,,Philadelphia 76ers,,,,
Mon Dec 4 2017,8:30 pm,Detroit Pistons,,San Antonio Spurs,,,,
Mon Dec 4 2017,9:00 pm,Washington Wizards,,Utah Jazz,,,,
Tue Dec 5 2017,8:00 pm,Utah Jazz,,Oklahoma City Thunder,,,,
Tue Dec 5 2017,10:00 pm,Washington Wizards,,Portland Trail Blazers,,,,
Tue Dec 5 2017,7:30 pm,Phoenix Suns,,Toronto Raptors,,,,
Wed Dec 6 2017,7:30 pm,Dallas Mavericks,,Boston Celtics,,,,
Wed Dec 6 2017,8:00 pm,Golden State Warriors,,Charlotte Hornets,,,,
Wed Dec 6 2017,7:00 pm,Sacramento Kings,,Cleveland Cavaliers,,,,
Wed Dec 6 2017,7:00 pm,Chicago Bulls,,Indiana Pacers,,,,
Wed Dec 6 2017,10:30 pm,Minnesota Timberwolves,,Los Angeles Clippers,,,,
Wed Dec 6 2017,8:00 pm,Detroit Pistons,,Milwaukee Bucks,,,,
Wed Dec 6 2017,8:00 pm,Denver Nuggets,,New Orleans Pelicans,,,,
Wed Dec 6 2017,7:30 pm,Memphis Grizzlies,,New York Knicks,,,,
Wed Dec 6 2017,7:00 pm,Atlanta Hawks,,Orlando Magic,,,,
Wed Dec 6 2017,8:30 pm,Miami Heat,,San Antonio Spurs,,,,
Thu Dec 7 2017,10:00 pm,Oklahoma City Thunder,,Brooklyn Nets,,,,
Thu Dec 7 2017,8:00 pm,Los Angeles Lakers,,Philadelphia 76ers,,,,
Thu Dec 7 2017,9:00 pm,Washington Wizards,,Phoenix Suns,,,,
Thu Dec 7 2017,10:30 pm,Houston Rockets,,Utah Jazz,,,,
Fri Dec 8 2017,7:00 pm,Chicago Bulls,,Charlotte Hornets,,,,
Fri Dec 8 2017,7:00 pm,Golden State Warriors,,Detroit Pistons,,,,
Fri Dec 8 2017,7:00 pm,Cleveland Cavaliers,,Indiana Pacers,,,,
Fri Dec 8 2017,8:00 pm,Toronto Raptors,,Memphis Grizzlies,,,,
Fri Dec 8 2017,8:00 pm,Dallas Mavericks,,Milwaukee Bucks,,,,
Fri Dec 8 2017,8:00 pm,Sacramento Kings,,New Orleans Pelicans,,,,
Fri Dec 8 2017,7:00 pm,Denver Nuggets,,Orlando Magic,,,,
Fri Dec 8 2017,9:30 pm,Boston Celtics,,San Antonio Spurs,,,,
Sat Dec 9 2017,7:30 pm,Orlando Magic,,Atlanta Hawks,,,,
Sat Dec 9 2017,6:00 pm,Miami Heat,,Brooklyn Nets,,,,
Sat Dec 9 2017,8:00 pm,New York Knicks,,Chicago Bulls,,,,
Sat Dec 9 2017,7:00 pm,Los Angeles Lakers,,Charlotte Hornets,,,,
Sat Dec 9 2017,8:00 pm,Philadelphia 76ers,,Cleveland Cavaliers,,,,
Sat Dec 9 2017,3:30 pm,Washington Wizards,,Los Angeles Clippers,,,,
Sat Dec 9 2017,9:00 pm,Oklahoma City Thunder,,Memphis Grizzlies,,,,
Sat Dec 9 2017,8:30 pm,Utah Jazz,,Milwaukee Bucks,,,,
Sat Dec 9 2017,9:00 pm,San Antonio Spurs,,Phoenix Suns,,,,
Sat Dec 9 2017,10:00 pm,Houston Rockets,,Portland Trail Blazers,,,,
Sun Dec 10 2017,4:00 pm,Boston Celtics,,Detroit Pistons,,,,
Sun Dec 10 2017,5:00 pm,Denver Nuggets,,Indiana Pacers,,,,
Sun Dec 10 2017,7:00 pm,Dallas Mavericks,,Minnesota Timberwolves,,,,
Sun Dec 10 2017,7:00 pm,Philadelphia 76ers,,New Orleans Pelicans,,,,
Sun Dec 10 2017,7:30 pm,Atlanta Hawks,,New York Knicks,,,,
Sun Dec 10 2017,3:30 pm,Toronto Raptors,,Sacramento Kings,,,,
Mon Dec 11 2017,8:00 pm,Boston Celtics,,Chicago Bulls,,,,
Mon Dec 11 2017,10:30 pm,Portland Trail Blazers,,Golden State Warriors,,,,
Mon Dec 11 2017,8:00 pm,New Orleans Pelicans,,Houston Rockets,,,,
Mon Dec 11 2017,10:30 pm,Toronto Raptors,,Los Angeles Clippers,,,,
Mon Dec 11 2017,8:00 pm,Miami Heat,,Memphis Grizzlies,,,,
Mon Dec 11 2017,8:00 pm,Charlotte Hornets,,Oklahoma City Thunder,,,,
Tue Dec 12 2017,7:30 pm,Washington Wizards,,Brooklyn Nets,,,,
Tue Dec 12 2017,7:00 pm,Atlanta Hawks,,Cleveland Cavaliers,,,,
Tue Dec 12 2017,9:30 pm,San Antonio Spurs,,Dallas Mavericks,,,,
Tue Dec 12 2017,7:00 pm,Denver Nuggets,,Detroit Pistons,,,,
Tue Dec 12 2017,8:00 pm,Philadelphia 76ers,,Minnesota Timberwolves,,,,
Tue Dec 12 2017,7:00 pm,Los Angeles Lakers,,New York Knicks,,,,
Tue Dec 12 2017,10:00 pm,Phoenix Suns,,Sacramento Kings,,,,
Wed Dec 13 2017,7:30 pm,Denver Nuggets,,Boston Celtics,,,,
Wed Dec 13 2017,8:00 pm,Utah Jazz,,Chicago Bulls,,,,
Wed Dec 13 2017,9:30 pm,Charlotte Hornets,,Houston Rockets,,,,
Wed Dec 13 2017,7:00 pm,Oklahoma City Thunder,,Indiana Pacers,,,,
Wed Dec 13 2017,7:30 pm,Portland Trail Blazers,,Miami Heat,,,,
Wed Dec 13 2017,8:00 pm,Milwaukee Bucks,,New Orleans Pelicans,,,,
Wed Dec 13 2017,7:00 pm,Los Angeles Clippers,,Orlando Magic,,,,
Wed Dec 13 2017,9:00 pm,Toronto Raptors,,Phoenix Suns,,,,
Wed Dec 13 2017,7:00 pm,Memphis Grizzlies,,Washington Wizards,,,,
Thu Dec 14 2017,7:30 pm,Detroit Pistons,,Atlanta Hawks,,,,
Thu Dec 14 2017,7:30 pm,New York Knicks,,Brooklyn Nets,,,,
Thu Dec 14 2017,8:00 pm,Los Angeles Lakers,,Cleveland Cavaliers,,,,
Thu Dec 14 2017,10:30 pm,Dallas Mavericks,,Golden State Warriors,,,,
Thu Dec 14 2017,8:00 pm,Sacramento Kings,,Minnesota Timberwolves,,,,
Fri Dec 15 2017,7:30 pm,Utah Jazz,,Boston Celtics,,,,
Fri Dec 15 2017,7:00 pm,Miami Heat,,Charlotte Hornets,,,,
Fri Dec 15 2017,9:00 pm,New Orleans Pelicans,,Denver Nuggets,,,,
Fri Dec 15 2017,9:30 pm,San Antonio Spurs,,Houston Rockets,,,,
Fri Dec 15 2017,7:00 pm,Detroit Pistons,,Indiana Pacers,,,,
Fri Dec 15 2017,8:00 pm,Atlanta Hawks,,Memphis Grizzlies,,,,
Fri Dec 15 2017,8:00 pm,Chicago Bulls,,Milwaukee Bucks,,,,
Fri Dec 15 2017,7:00 pm,Portland Trail Blazers,,Orlando Magic,,,,
Fri Dec 15 2017,7:00 pm,Oklahoma City Thunder,,Philadelphia 76ers,,,,
Fri Dec 15 2017,7:30 pm,Brooklyn Nets,,Toronto Raptors,,,,
Fri Dec 15 2017,7:00 pm,Los Angeles Clippers,,Washington Wizards,,,,
Sat Dec 16 2017,7:00 pm,Portland Trail Blazers,,Charlotte Hornets,,,,
Sat Dec 16 2017,7:30 pm,Utah Jazz,,Cleveland Cavaliers,,,,
Sat Dec 16 2017,8:00 pm,Milwaukee Bucks,,Houston Rockets,,,,
Sat Dec 16 2017,9:00 pm,Boston Celtics,,Memphis Grizzlies,,,,
Sat Dec 16 2017,8:00 pm,Los Angeles Clippers,,Miami Heat,,,,
Sat Dec 16 2017,8:00 pm,Phoenix Suns,,Minnesota Timberwolves,,,,
Sat Dec 16 2017,7:30 pm,Oklahoma City Thunder,,New York Knicks,,,,
Sat Dec 16 2017,8:30 pm,Dallas Mavericks,,San Antonio Spurs,,,,
Sun Dec 17 2017,6:00 pm,Indiana Pacers,,Brooklyn Nets,,,,
Sun Dec 17 2017,4:00 pm,Orlando Magic,,Detroit Pistons,,,,
Sun Dec 17 2017,3:30 pm,Sacramento Kings,,Toronto Raptors,,,,
Sun Dec 17 2017,6:00 pm,Cleveland Cavaliers,,Washington Wizards,,,,
Mon Dec 18 2017,7:30 pm,Miami Heat,,Atlanta Hawks,,,,
Mon Dec 18 2017,8:00 pm,Philadelphia 76ers,,Chicago Bulls,,,,
Mon Dec 18 2017,7:00 pm,New York Knicks,,Charlotte Hornets,,,,
Mon Dec 18 2017,8:30 pm,Phoenix Suns,,Dallas Mavericks,,,,
Mon Dec 18 2017,8:00 pm,Utah Jazz,,Houston Rockets,,,,
Mon Dec 18 2017,7:00 pm,Boston Celtics,,Indiana Pacers,,,,
Mon Dec 18 2017,10:30 pm,Golden State Warriors,,Los Angeles Lakers,,,,
Mon Dec 18 2017,8:00 pm,Portland Trail Blazers,,Minnesota Timberwolves,,,,
Mon Dec 18 2017,8:00 pm,Denver Nuggets,,Oklahoma City Thunder,,,,
Mon Dec 18 2017,8:30 pm,Los Angeles Clippers,,San Antonio Spurs,,,,
Tue Dec 19 2017,8:00 pm,Cleveland Cavaliers,,Milwaukee Bucks,,,,
Tue Dec 19 2017,7:00 pm,Sacramento Kings,,Philadelphia 76ers,,,,
Tue Dec 19 2017,7:00 pm,New Orleans Pelicans,,Washington Wizards,,,,
Wed Dec 20 2017,7:30 pm,Indiana Pacers,,Atlanta Hawks,,,,
Wed Dec 20 2017,7:30 pm,Miami Heat,,Boston Celtics,,,,
Wed Dec 20 2017,7:30 pm,Sacramento Kings,,Brooklyn Nets,,,,
Wed Dec 20 2017,8:00 pm,Orlando Magic,,Chicago Bulls,,,,
Wed Dec 20 2017,7:00 pm,Toronto Raptors,,Charlotte Hornets,,,,
Wed Dec 20 2017,8:30 pm,Detroit Pistons,,Dallas Mavericks,,,,
Wed Dec 20 2017,9:00 pm,Minnesota Timberwolves,,Denver Nuggets,,,,
Wed Dec 20 2017,10:30 pm,Memphis Grizzlies,,Golden State Warriors,,,,
Wed Dec 20 2017,8:00 pm,Los Angeles Lakers,,Houston Rockets,,,,
Wed Dec 20 2017,10:30 pm,Phoenix Suns,,Los Angeles Clippers,,,,
Wed Dec 20 2017,8:00 pm,Utah Jazz,,Oklahoma City Thunder,,,,
Wed Dec 20 2017,10:00 pm,San Antonio Spurs,,Portland Trail Blazers,,,,
Thu Dec 21 2017,7:00 pm,Chicago Bulls,,Cleveland Cavaliers,,,,
Thu Dec 21 2017,8:00 pm,Boston Celtics,,New York Knicks,,,,
Thu Dec 21 2017,7:00 pm,Toronto Raptors,,Philadelphia 76ers,,,,
Thu Dec 21 2017,9:00 pm,Memphis Grizzlies,,Phoenix Suns,,,,
Thu Dec 21 2017,10:30 pm,San Antonio Spurs,,Utah Jazz,,,,
Fri Dec 22 2017,7:30 pm,Washington Wizards,,Brooklyn Nets,,,,
Fri Dec 22 2017,7:00 pm,New York Knicks,,Detroit Pistons,,,,
Fri Dec 22 2017,10:30 pm,Los Angeles Lakers,,Golden State Warriors,,,,
Fri Dec 22 2017,8:00 pm,Los Angeles Clippers,,Houston Rockets,,,,
Fri Dec 22 2017,8:00 pm,Dallas Mavericks,,Miami Heat,,,,
Fri Dec 22 2017,8:00 pm,Charlotte Hornets,,Milwaukee Bucks,,,,
Fri Dec 22 2017,8:00 pm,Atlanta Hawks,,Oklahoma City Thunder,,,,
Fri Dec 22 2017,7:00 pm,New Orleans Pelicans,,Orlando Magic,,,,
Fri Dec 22 2017,10:00 pm,Denver Nuggets,,Portland Trail Blazers,,,,
Sat Dec 23 2017,7:30 pm,Dallas Mavericks,,Atlanta Hawks,,,,
Sat Dec 23 2017,7:30 pm,Chicago Bulls,,Boston Celtics,,,,
Sat Dec 23 2017,7:00 pm,Milwaukee Bucks,,Charlotte Hornets,,,,
Sat Dec 23 2017,8:30 pm,Denver Nuggets,,Golden State Warriors,,,,
Sat Dec 23 2017,7:00 pm,Brooklyn Nets,,Indiana Pacers,,,,
Sat Dec 23 2017,9:30 pm,Portland Trail Blazers,,Los Angeles Lakers,,,,
Sat Dec 23 2017,8:00 pm,Los Angeles Clippers,,Memphis Grizzlies,,,,
Sat Dec 23 2017,8:00 pm,New Orleans Pelicans,,Miami Heat,,,,
Sat Dec 23 2017,9:00 pm,Minnesota Timberwolves,,Phoenix Suns,,,,
Sat Dec 23 2017,10:00 pm,San Antonio Spurs,,Sacramento Kings,,,,
Sat Dec 23 2017,5:00 pm,Philadelphia 76ers,,Toronto Raptors,,,,
Sat Dec 23 2017,8:00 pm,Oklahoma City Thunder,,Utah Jazz,,,,
Sat Dec 23 2017,7:00 pm,Orlando Magic,,Washington Wizards,,,,
Mon Dec 25 2017,5:30 pm,Washington Wizards,,Boston Celtics,,,,
Mon Dec 25 2017,3:00 pm,Cleveland Cavaliers,,Golden State Warriors,,,,
Mon Dec 25 2017,10:30 pm,Minnesota Timberwolves,,Los Angeles Lakers,,,,
Mon Dec 25 2017,12:00 pm,Philadelphia 76ers,,New York Knicks,,,,
Mon Dec 25 2017,8:00 pm,Houston Rockets,,Oklahoma City Thunder,,,,
Tue Dec 26 2017,7:00 pm,Toronto Raptors,,Dallas Mavericks,,,,
Tue Dec 26 2017,9:00 pm,Utah Jazz,,Denver Nuggets,,,,
Tue Dec 26 2017,7:00 pm,Indiana Pacers,,Detroit Pistons,,,,
Tue Dec 26 2017,10:30 pm,Sacramento Kings,,Los Angeles Clippers,,,,
Tue Dec 26 2017,7:30 pm,Orlando Magic,,Miami Heat,,,,
Tue Dec 26 2017,8:00 pm,Chicago Bulls,,Milwaukee Bucks,,,,
Tue Dec 26 2017,9:00 pm,Memphis Grizzlies,,Phoenix Suns,,,,
Tue Dec 26 2017,8:30 pm,Brooklyn Nets,,San Antonio Spurs,,,,
Wed Dec 27 2017,7:30 pm,Washington Wizards,,Atlanta Hawks,,,,
Wed Dec 27 2017,8:00 pm,New York Knicks,,Chicago Bulls,,,,
Wed Dec 27 2017,7:00 pm,Boston Celtics,,Charlotte Hornets,,,,
Wed Dec 27 2017,10:30 pm,Utah Jazz,,Golden State Warriors,,,,
Wed Dec 27 2017,7:00 pm,Dallas Mavericks,,Indiana Pacers,,,,
Wed Dec 27 2017,10:30 pm,Memphis Grizzlies,,Los Angeles Lakers,,,,
Wed Dec 27 2017,8:00 pm,Denver Nuggets,,Minnesota Timberwolves,,,,
Wed Dec 27 2017,8:00 pm,Brooklyn Nets,,New Orleans Pelicans,,,,
Wed Dec 27 2017,8:00 pm,Toronto Raptors,,Oklahoma City Thunder,,,,
Wed Dec 27 2017,10:00 pm,Cleveland Cavaliers,,Sacramento Kings,,,,
Thu Dec 28 2017,8:00 pm,Houston Rockets,,Boston Celtics,,,,
Thu Dec 28 2017,8:00 pm,Minnesota Timberwolves,,Milwaukee Bucks,,,,
Thu Dec 28 2017,7:00 pm,Detroit Pistons,,Orlando Magic,,,,
Thu Dec 28 2017,10:30 pm,Philadelphia 76ers,,Portland Trail Blazers,,,,
Thu Dec 28 2017,8:30 pm,New York Knicks,,San Antonio Spurs,,,,
Fri Dec 29 2017,8:00 pm,Indiana Pacers,,Chicago Bulls,,,,
Fri Dec 29 2017,10:30 pm,Charlotte Hornets,,Golden State Warriors,,,,
Fri Dec 29 2017,10:30 pm,Los Angeles Clippers,,Los Angeles Lakers,,,,
Fri Dec 29 2017,8:00 pm,Brooklyn Nets,,Miami Heat,,,,
Fri Dec 29 2017,8:00 pm,Dallas Mavericks,,New Orleans Pelicans,,,,
Fri Dec 29 2017,8:00 pm,Milwaukee Bucks,,Oklahoma City Thunder,,,,
Fri Dec 29 2017,10:00 pm,Phoenix Suns,,Sacramento Kings,,,,
Fri Dec 29 2017,7:30 pm,Atlanta Hawks,,Toronto Raptors,,,,
Fri Dec 29 2017,7:00 pm,Houston Rockets,,Washington Wizards,,,,
Sat Dec 30 2017,7:30 pm,Portland Trail Blazers,,Atlanta Hawks,,,,
Sat Dec 30 2017,9:00 pm,Philadelphia 76ers,,Denver Nuggets,,,,
Sat Dec 30 2017,7:00 pm,San Antonio Spurs,,Detroit Pistons,,,,
Sat Dec 30 2017,8:30 pm,Memphis Grizzlies,,Golden State Warriors,,,,
Sat Dec 30 2017,7:00 pm,New York Knicks,,New Orleans Pelicans,,,,
Sat Dec 30 2017,7:00 pm,Miami Heat,,Orlando Magic,,,,
Sat Dec 30 2017,8:00 pm,Cleveland Cavaliers,,Utah Jazz,,,,
Sun Dec 31 2017,5:30 pm,Brooklyn Nets,,Boston Celtics,,,,
Sun Dec 31 2017,7:00 pm,Los Angeles Lakers,,Houston Rockets,,,,
Sun Dec 31 2017,5:00 pm,Minnesota Timberwolves,,Indiana Pacers,,,,
Sun Dec 31 2017,7:00 pm,Charlotte Hornets,,Los Angeles Clippers,,,,
Sun Dec 31 2017,7:00 pm,Dallas Mavericks,,Oklahoma City Thunder,,,,
Sun Dec 31 2017,8:00 pm,Philadelphia 76ers,,Phoenix Suns,,,,
Sun Dec 31 2017,7:00 pm,Memphis Grizzlies,,Sacramento Kings,,,,
Sun Dec 31 2017,3:30 pm,Chicago Bulls,,Washington Wizards,,,,
Mon Jan 1 2018,7:30 pm,Orlando Magic,,Brooklyn Nets,,,,
Mon Jan 1 2018,8:00 pm,Portland Trail Blazers,,Chicago Bulls,,,,
Mon Jan 1 2018,8:00 pm,Los Angeles Lakers,,Minnesota Timberwolves,,,,
Mon Jan 1 2018,7:30 pm,Milwaukee Bucks,,Toronto Raptors,,,,
Tue Jan 2 2018,7:00 pm,Portland Trail Blazers,,Cleveland Cavaliers,,,,
Tue Jan 2 2018,10:30 pm,Memphis Grizzlies,,Los Angeles Clippers,,,,
Tue Jan 2 2018,7:30 pm,San Antonio Spurs,,New York Knicks,,,,
Tue Jan 2 2018,9:00 pm,Atlanta Hawks,,Phoenix Suns,,,,
Tue Jan 2 2018,10:00 pm,Charlotte Hornets,,Sacramento Kings,,,,
Wed Jan 3 2018,8:00 pm,Cleveland Cavaliers,,Boston Celtics,,,,
Wed Jan 3 2018,7:30 pm,Minnesota Timberwolves,,Brooklyn Nets,,,,
Wed Jan 3 2018,8:00 pm,Toronto Raptors,,Chicago Bulls,,,,
Wed Jan 3 2018,8:30 pm,Golden State Warriors,,Dallas Mavericks,,,,
Wed Jan 3 2018,9:00 pm,Phoenix Suns,,Denver Nuggets,,,,
Wed Jan 3 2018,10:30 pm,Oklahoma City Thunder,,Los Angeles Lakers,,,,
Wed Jan 3 2018,7:30 pm,Detroit Pistons,,Miami Heat,,,,
Wed Jan 3 2018,8:00 pm,Indiana Pacers,,Milwaukee Bucks,,,,
Wed Jan 3 2018,7:00 pm,Houston Rockets,,Orlando Magic,,,,
Wed Jan 3 2018,7:00 pm,San Antonio Spurs,,Philadelphia 76ers,,,,
Wed Jan 3 2018,9:00 pm,New Orleans Pelicans,,Utah Jazz,,,,
Wed Jan 3 2018,7:00 pm,New York Knicks,,Washington Wizards,,,,
Thu Jan 4 2018,8:00 pm,Golden State Warriors,,Houston Rockets,,,,
Thu Jan 4 2018,10:30 pm,Oklahoma City Thunder,,Los Angeles Clippers,,,,
Fri Jan 5 2018,7:30 pm,Minnesota Timberwolves,,Boston Celtics,,,,
Fri Jan 5 2018,8:30 pm,Chicago Bulls,,Dallas Mavericks,,,,
Fri Jan 5 2018,9:00 pm,Utah Jazz,,Denver Nuggets,,,,
Fri Jan 5 2018,10:30 pm,Charlotte Hornets,,Los Angeles Lakers,,,,
Fri Jan 5 2018,9:30 pm,Washington Wizards,,Memphis Grizzlies,,,,
Fri Jan 5 2018,7:00 pm,New York Knicks,,Miami Heat,,,,
Fri Jan 5 2018,8:00 pm,Toronto Raptors,,Milwaukee Bucks,,,,
Fri Jan 5 2018,7:00 pm,Detroit Pistons,,Philadelphia 76ers,,,,
Fri Jan 5 2018,10:00 pm,Atlanta Hawks,,Portland Trail Blazers,,,,
Fri Jan 5 2018,8:30 pm,Phoenix Suns,,San Antonio Spurs,,,,
Sat Jan 6 2018,6:00 pm,Boston Celtics,,Brooklyn Nets,,,,
Sat Jan 6 2018,7:00 pm,Houston Rockets,,Detroit Pistons,,,,
Sat Jan 6 2018,7:00 pm,Chicago Bulls,,Indiana Pacers,,,,
Sat Jan 6 2018,3:30 pm,Golden State Warriors,,Los Angeles Clippers,,,,
Sat Jan 6 2018,9:00 pm,New Orleans Pelicans,,Minnesota Timberwolves,,,,
Sat Jan 6 2018,7:00 pm,Cleveland Cavaliers,,Orlando Magic,,,,
Sat Jan 6 2018,10:00 pm,Denver Nuggets,,Sacramento Kings,,,,
Sat Jan 6 2018,8:00 pm,Milwaukee Bucks,,Washington Wizards,,,,
Sun Jan 7 2018,7:00 pm,New York Knicks,,Dallas Mavericks,,,,
Sun Jan 7 2018,9:30 pm,Atlanta Hawks,,Los Angeles Lakers,,,,
Sun Jan 7 2018,3:30 pm,Utah Jazz,,Miami Heat,,,,
Sun Jan 7 2018,8:00 pm,Oklahoma City Thunder,,Phoenix Suns,,,,
Sun Jan 7 2018,9:00 pm,San Antonio Spurs,,Portland Trail Blazers,,,,
Mon Jan 8 2018,7:30 pm,Toronto Raptors,,Brooklyn Nets,,,,
Mon Jan 8 2018,8:00 pm,Houston Rockets,,Chicago Bulls,,,,
Mon Jan 8 2018,10:30 pm,Denver Nuggets,,Golden State Warriors,,,,
Mon Jan 8 2018,7:00 pm,Milwaukee Bucks,,Indiana Pacers,,,,
Mon Jan 8 2018,10:30 pm,Atlanta Hawks,,Los Angeles Clippers,,,,
Mon Jan 8 2018,8:00 pm,Cleveland Cavaliers,,Minnesota Timberwolves,,,,
Mon Jan 8 2018,8:00 pm,Detroit Pistons,,New Orleans Pelicans,,,,
Mon Jan 8 2018,10:00 pm,San Antonio Spurs,,Sacramento Kings,,,,
Tue Jan 9 2018,8:30 pm,Orlando Magic,,Dallas Mavericks,,,,
Tue Jan 9 2018,10:30 pm,Sacramento Kings,,Los Angeles Lakers,,,,
Tue Jan 9 2018,8:00 pm,Portland Trail Blazers,,Oklahoma City Thunder,,,,
Tue Jan 9 2018,7:30 pm,Miami Heat,,Toronto Raptors,,,,
Wed Jan 10 2018,7:30 pm,Detroit Pistons,,Brooklyn Nets,,,,
Wed Jan 10 2018,7:00 pm,Dallas Mavericks,,Charlotte Hornets,,,,
Wed Jan 10 2018,9:00 pm,Atlanta Hawks,,Denver Nuggets,,,,
Wed Jan 10 2018,10:30 pm,Los Angeles Clippers,,Golden State Warriors,,,,
Wed Jan 10 2018,8:00 pm,Portland Trail Blazers,,Houston Rockets,,,,
Wed Jan 10 2018,7:00 pm,Miami Heat,,Indiana Pacers,,,,
Wed Jan 10 2018,8:00 pm,New Orleans Pelicans,,Memphis Grizzlies,,,,
Wed Jan 10 2018,8:00 pm,Orlando Magic,,Milwaukee Bucks,,,,
Wed Jan 10 2018,8:00 pm,Oklahoma City Thunder,,Minnesota Timberwolves,,,,
Wed Jan 10 2018,7:30 pm,Chicago Bulls,,New York Knicks,,,,
Wed Jan 10 2018,7:00 pm,Utah Jazz,,Washington Wizards,,,,
Thu Jan 11 2018,10:30 pm,San Antonio Spurs,,Los Angeles Lakers,,,,
Thu Jan 11 2018,3:00 pm,Boston Celtics,,Philadelphia 76ers,,,,
Thu Jan 11 2018,10:00 pm,Los Angeles Clippers,,Sacramento Kings,,,,
Thu Jan 11 2018,8:00 pm,Cleveland Cavaliers,,Toronto Raptors,,,,
Fri Jan 12 2018,7:30 pm,Brooklyn Nets,,Atlanta Hawks,,,,
Fri Jan 12 2018,7:00 pm,Utah Jazz,,Charlotte Hornets,,,,
Fri Jan 12 2018,9:00 pm,Memphis Grizzlies,,Denver Nuggets,,,,
Fri Jan 12 2018,7:00 pm,Cleveland Cavaliers,,Indiana Pacers,,,,
Fri Jan 12 2018,8:00 pm,Golden State Warriors,,Milwaukee Bucks,,,,
Fri Jan 12 2018,8:00 pm,New York Knicks,,Minnesota Timberwolves,,,,
Fri Jan 12 2018,8:00 pm,Portland Trail Blazers,,New Orleans Pelicans,,,,
Fri Jan 12 2018,10:30 pm,Houston Rockets,,Phoenix Suns,,,,
Fri Jan 12 2018,7:00 pm,Orlando Magic,,Washington Wizards,,,,
Sat Jan 13 2018,8:00 pm,Detroit Pistons,,Chicago Bulls,,,,
Sat Jan 13 2018,5:00 pm,Oklahoma City Thunder,,Charlotte Hornets,,,,
Sat Jan 13 2018,2:00 pm,Los Angeles Lakers,,Dallas Mavericks,,,,
Sat Jan 13 2018,3:30 pm,Sacramento Kings,,Los Angeles Clippers,,,,
Sat Jan 13 2018,8:30 pm,Denver Nuggets,,San Antonio Spurs,,,,
Sat Jan 13 2018,7:30 pm,Golden State Warriors,,Toronto Raptors,,,,
Sat Jan 13 2018,7:00 pm,Brooklyn Nets,,Washington Wizards,,,,
Sun Jan 14 2018,1:00 pm,Milwaukee Bucks,,Miami Heat,,,,
Sun Jan 14 2018,9:00 pm,Portland Trail Blazers,,Minnesota Timberwolves,,,,
Sun Jan 14 2018,3:30 pm,New Orleans Pelicans,,New York Knicks,,,,
Sun Jan 14 2018,8:00 pm,Indiana Pacers,,Phoenix Suns,,,,
Mon Jan 15 2018,3:00 pm,San Antonio Spurs,,Atlanta Hawks,,,,
Mon Jan 15 2018,3:00 pm,New York Knicks,,Brooklyn Nets,,,,
