Month,Day,Year,Start (ET),Visitor,Visitor PTS,Home,Home PTS,Score,,Notes
Mon Nov 27 2017,7:30 pm,Portland Trail Blazers,103,New York Knicks,91,Box Score,,
Mon Nov 27 2017,7:00 pm,Cleveland Cavaliers,113,Philadelphia 76ers,91,Box Score,,
Mon Nov 27 2017,8:30 pm,Dallas Mavericks,108,San Antonio Spurs,115,Box Score,,
Tue Nov 28 2017,8:00 pm,Phoenix Suns,104,Chicago Bulls,99,Box Score,,
Tue Nov 28 2017,7:00 pm,Miami Heat,97,Cleveland Cavaliers,108,Box Score,,
Tue Nov 28 2017,8:00 pm,Washington Wizards,92,Minnesota Timberwolves,89,Box Score,,
Tue Nov 28 2017,10:00 pm,Milwaukee Bucks,112,Sacramento Kings,87,Box Score,,
Tue Nov 28 2017,10:00 pm,Denver Nuggets,77,Utah Jazz,106,Box Score,,
Wed Nov 29 2017,8:30 pm,Brooklyn Nets,109,Dallas Mavericks,104,Box Score,,
Wed Nov 29 2017,7:00 pm,Phoenix Suns,107,Detroit Pistons,131,Box Score,,
Wed Nov 29 2017,8:00 pm,Indiana Pacers,97,Houston Rockets,118,Box Score,,
Wed Nov 29 2017,10:30 pm,Golden State Warriors,127,Los Angeles Lakers,123,Box Score,OT,
Wed Nov 29 2017,8:00 pm,Minnesota Timberwolves,120,New Orleans Pelicans,102,Box Score,,
Wed Nov 29 2017,7:30 pm,Miami Heat,86,New York Knicks,115,Box Score,,
Wed Nov 29 2017,7:00 pm,Oklahoma City Thunder,108,Orlando Magic,121,Box Score,,
Wed Nov 29 2017,7:00 pm,Washington Wizards,113,Philadelphia 76ers,118,Box Score,,
Wed Nov 29 2017,8:30 pm,Memphis Grizzlies,95,San Antonio Spurs,104,Box Score,,
Wed Nov 29 2017,7:30 pm,Charlotte Hornets,113,Toronto Raptors,126,Box Score,,
Thu Nov 30 2017,7:30 pm,Cleveland Cavaliers,121,Atlanta Hawks,114,Box Score,,
Thu Nov 30 2017,7:30 pm,Philadelphia 76ers,97,Boston Celtics,108,Box Score,,
Thu Nov 30 2017,9:00 pm,Chicago Bulls,110,Denver Nuggets,111,Box Score,,
Thu Nov 30 2017,10:30 pm,Utah Jazz,126,Los Angeles Clippers,107,Box Score,,
Thu Nov 30 2017,10:00 pm,Milwaukee Bucks,103,Portland Trail Blazers,91,Box Score,,
Fri Dec 1 2017,8:00 pm,Sacramento Kings,107,Chicago Bulls,106,Box Score,,
Fri Dec 1 2017,8:00 pm,San Antonio Spurs,95,Memphis Grizzlies,79,Box Score,,
Fri Dec 1 2017,8:00 pm,Charlotte Hornets,100,Miami Heat,105,Box Score,,
Fri Dec 1 2017,8:00 pm,Minnesota Timberwolves,107,Oklahoma City Thunder,111,Box Score,,
Fri Dec 1 2017,7:00 pm,Golden State Warriors,133,Orlando Magic,112,Box Score,,
Fri Dec 1 2017,7:30 pm,Indiana Pacers,115,Toronto Raptors,120,Box Score,,
Fri Dec 1 2017,9:00 pm,New Orleans Pelicans,108,Utah Jazz,114,Box Score,,
Fri Dec 1 2017,7:00 pm,Detroit Pistons,91,Washington Wizards,109,Box Score,,
Sat Dec 2 2017,1:00 pm,Phoenix Suns,111,Boston Celtics,116,Box Score,,
Sat Dec 2 2017,3:00 pm,Atlanta Hawks,114,Brooklyn Nets,102,Box Score,,
Sat Dec 2 2017,7:30 pm,Memphis Grizzlies,111,Cleveland Cavaliers,116,Box Score,,
Sat Dec 2 2017,2:00 pm,Los Angeles Clippers,82,Dallas Mavericks,108,Box Score,,
Sat Dec 2 2017,9:00 pm,Los Angeles Lakers,100,Denver Nuggets,115,Box Score,,
Sat Dec 2 2017,8:30 pm,Sacramento Kings,104,Milwaukee Bucks,109,Box Score,,
Sat Dec 2 2017,7:30 pm,Detroit Pistons,103,Philadelphia 76ers,108,Box Score,,
Sat Dec 2 2017,10:00 pm,New Orleans Pelicans,123,Portland Trail Blazers,116,Box Score,,
Sun Dec 3 2017,9:30 pm,Houston Rockets,118,Los Angeles Lakers,95,Box Score,,
Sun Dec 3 2017,7:00 pm,Golden State Warriors,123,Miami Heat,95,Box Score,,
Sun Dec 3 2017,7:00 pm,Los Angeles Clippers,106,Minnesota Timberwolves,112,Box Score,,
Sun Dec 3 2017,3:30 pm,Orlando Magic,105,New York Knicks,100,Box Score,,
Sun Dec 3 2017,7:00 pm,San Antonio Spurs,87,Oklahoma City Thunder,90,Box Score,,
Mon Dec 4 2017,7:30 pm,Brooklyn Nets,110,Atlanta Hawks,90,Box Score,,
Mon Dec 4 2017,7:30 pm,Milwaukee Bucks,100,Boston Celtics,111,Box Score,,
Mon Dec 4 2017,8:00 pm,Cleveland Cavaliers,113,Chicago Bulls,91,Box Score,,
Mon Dec 4 2017,7:00 pm,Orlando Magic,94,Charlotte Hornets,104,Box Score,,
Mon Dec 4 2017,8:30 pm,Denver Nuggets,105,Dallas Mavericks,122,Box Score,,
Mon Dec 4 2017,7:00 pm,New York Knicks,97,Indiana Pacers,115,Box Score,,
Mon Dec 4 2017,8:00 pm,Minnesota Timberwolves,92,Memphis Grizzlies,95,Box Score,,
Mon Dec 4 2017,8:00 pm,Golden State Warriors,125,New Orleans Pelicans,115,Box Score,,
Mon Dec 4 2017,7:00 pm,Phoenix Suns,115,Philadelphia 76ers,101,Box Score,,
Mon Dec 4 2017,8:30 pm,Detroit Pistons,93,San Antonio Spurs,96,Box Score,,
Mon Dec 4 2017,9:00 pm,Washington Wizards,69,Utah Jazz,116,Box Score,,
Tue Dec 5 2017,8:00 pm,Utah Jazz,94,Oklahoma City Thunder,100,Box Score,,
Tue Dec 5 2017,10:00 pm,Washington Wizards,106,Portland Trail Blazers,92,Box Score,,
Tue Dec 5 2017,7:30 pm,Phoenix Suns,113,Toronto Raptors,126,Box Score,,
Wed Dec 6 2017,7:30 pm,Dallas Mavericks,90,Boston Celtics,97,Box Score,,
Wed Dec 6 2017,8:00 pm,Golden State Warriors,101,Charlotte Hornets,87,Box Score,,
Wed Dec 6 2017,7:00 pm,Sacramento Kings,95,Cleveland Cavaliers,101,Box Score,,
Wed Dec 6 2017,7:00 pm,Chicago Bulls,96,Indiana Pacers,98,Box Score,,
Wed Dec 6 2017,10:30 pm,Minnesota Timberwolves,113,Los Angeles Clippers,107,Box Score,,
Wed Dec 6 2017,8:00 pm,Detroit Pistons,100,Milwaukee Bucks,104,Box Score,,
Wed Dec 6 2017,8:00 pm,Denver Nuggets,114,New Orleans Pelicans,123,Box Score,,
Wed Dec 6 2017,7:30 pm,Memphis Grizzlies,88,New York Knicks,99,Box Score,,
Wed Dec 6 2017,7:00 pm,Atlanta Hawks,106,Orlando Magic,110,Box Score,OT,
Wed Dec 6 2017,8:30 pm,Miami Heat,105,San Antonio Spurs,117,Box Score,,
Thu Dec 7 2017,10:00 pm,Oklahoma City Thunder,95,Brooklyn Nets,100,Box Score,,
Thu Dec 7 2017,8:00 pm,Los Angeles Lakers,107,Philadelphia 76ers,104,Box Score,,
Thu Dec 7 2017,9:00 pm,Washington Wizards,109,Phoenix Suns,99,Box Score,,
Thu Dec 7 2017,10:30 pm,Houston Rockets,112,Utah Jazz,101,Box Score,,
Fri Dec 8 2017,7:00 pm,Chicago Bulls,119,Charlotte Hornets,111,Box Score,OT,
Fri Dec 8 2017,7:00 pm,Golden State Warriors,102,Detroit Pistons,98,Box Score,,
Fri Dec 8 2017,7:00 pm,Cleveland Cavaliers,102,Indiana Pacers,106,Box Score,,
Fri Dec 8 2017,8:00 pm,Toronto Raptors,116,Memphis Grizzlies,107,Box Score,,
Fri Dec 8 2017,8:00 pm,Dallas Mavericks,102,Milwaukee Bucks,109,Box Score,,
Fri Dec 8 2017,8:00 pm,Sacramento Kings,116,New Orleans Pelicans,109,Box Score,OT,
Fri Dec 8 2017,7:00 pm,Denver Nuggets,103,Orlando Magic,89,Box Score,,
Fri Dec 8 2017,9:30 pm,Boston Celtics,102,San Antonio Spurs,105,Box Score,,
Sat Dec 9 2017,7:30 pm,Orlando Magic,110,Atlanta Hawks,117,Box Score,,
Sat Dec 9 2017,6:00 pm,Miami Heat,101,Brooklyn Nets,89,Box Score,,
Sat Dec 9 2017,8:00 pm,New York Knicks,102,Chicago Bulls,104,Box Score,,
Sat Dec 9 2017,7:00 pm,Los Angeles Lakers,110,Charlotte Hornets,99,Box Score,,
Sat Dec 9 2017,8:00 pm,Philadelphia 76ers,98,Cleveland Cavaliers,105,Box Score,,
Sat Dec 9 2017,3:30 pm,Washington Wizards,112,Los Angeles Clippers,113,Box Score,,
Sat Dec 9 2017,9:00 pm,Oklahoma City Thunder,102,Memphis Grizzlies,101,Box Score,OT,
Sat Dec 9 2017,8:30 pm,Utah Jazz,100,Milwaukee Bucks,117,Box Score,,
Sat Dec 9 2017,9:00 pm,San Antonio Spurs,104,Phoenix Suns,101,Box Score,,
Sat Dec 9 2017,10:00 pm,Houston Rockets,124,Portland Trail Blazers,117,Box Score,,
Sun Dec 10 2017,4:00 pm,Boston Celtics,91,Detroit Pistons,81,Box Score,,
Sun Dec 10 2017,5:00 pm,Denver Nuggets,116,Indiana Pacers,126,Box Score,OT,
Sun Dec 10 2017,7:00 pm,Dallas Mavericks,92,Minnesota Timberwolves,97,Box Score,,
Sun Dec 10 2017,7:00 pm,Philadelphia 76ers,124,New Orleans Pelicans,131,Box Score,,
Sun Dec 10 2017,7:30 pm,Atlanta Hawks,107,New York Knicks,111,Box Score,,
Sun Dec 10 2017,3:30 pm,Toronto Raptors,102,Sacramento Kings,87,Box Score,,
Mon Dec 11 2017,8:00 pm,Boston Celtics,85,Chicago Bulls,108,Box Score,,
Mon Dec 11 2017,10:30 pm,Portland Trail Blazers,104,Golden State Warriors,111,Box Score,,
Mon Dec 11 2017,8:00 pm,New Orleans Pelicans,123,Houston Rockets,130,Box Score,,
Mon Dec 11 2017,10:30 pm,Toronto Raptors,91,Los Angeles Clippers,96,Box Score,,
Mon Dec 11 2017,8:00 pm,Miami Heat,107,Memphis Grizzlies,82,Box Score,,
Mon Dec 11 2017,8:00 pm,Charlotte Hornets,116,Oklahoma City Thunder,103,Box Score,,
Tue Dec 12 2017,7:30 pm,Washington Wizards,98,Brooklyn Nets,103,Box Score,,
Tue Dec 12 2017,7:00 pm,Atlanta Hawks,114,Cleveland Cavaliers,123,Box Score,,
Tue Dec 12 2017,8:30 pm,San Antonio Spurs,89,Dallas Mavericks,95,Box Score,,
Tue Dec 12 2017,7:00 pm,Denver Nuggets,103,Detroit Pistons,84,Box Score,,
Tue Dec 12 2017,9:30 pm,Philadelphia 76ers,118,Minnesota Timberwolves,112,Box Score,OT,
Tue Dec 12 2017,7:00 pm,Los Angeles Lakers,109,New York Knicks,113,Box Score,OT,
Tue Dec 12 2017,10:00 pm,Phoenix Suns,92,Sacramento Kings,99,Box Score,,
Wed Dec 13 2017,7:30 pm,Denver Nuggets,118,Boston Celtics,124,Box Score,,
Wed Dec 13 2017,8:00 pm,Utah Jazz,100,Chicago Bulls,103,Box Score,,
Wed Dec 13 2017,9:30 pm,Charlotte Hornets,96,Houston Rockets,108,Box Score,,
Wed Dec 13 2017,7:00 pm,Oklahoma City Thunder,100,Indiana Pacers,95,Box Score,,
Wed Dec 13 2017,7:30 pm,Portland Trail Blazers,102,Miami Heat,95,Box Score,,
Wed Dec 13 2017,8:00 pm,Milwaukee Bucks,108,New Orleans Pelicans,115,Box Score,,
Wed Dec 13 2017,7:00 pm,Los Angeles Clippers,106,Orlando Magic,95,Box Score,,
Wed Dec 13 2017,9:00 pm,Toronto Raptors,115,Phoenix Suns,109,Box Score,,
Wed Dec 13 2017,7:00 pm,Memphis Grizzlies,87,Washington Wizards,93,Box Score,,
Thu Dec 14 2017,7:30 pm,Detroit Pistons,105,Atlanta Hawks,91,Box Score,,
Thu Dec 14 2017,7:30 pm,New York Knicks,111,Brooklyn Nets,104,Box Score,,
Thu Dec 14 2017,8:00 pm,Los Angeles Lakers,112,Cleveland Cavaliers,121,Box Score,,
Thu Dec 14 2017,10:30 pm,Dallas Mavericks,97,Golden State Warriors,112,Box Score,,
Thu Dec 14 2017,8:00 pm,Sacramento Kings,96,Minnesota Timberwolves,119,Box Score,,
Fri Dec 15 2017,7:30 pm,Utah Jazz,107,Boston Celtics,95,Box Score,,
Fri Dec 15 2017,7:00 pm,Miami Heat,104,Charlotte Hornets,98,Box Score,,
Fri Dec 15 2017,9:00 pm,New Orleans Pelicans,111,Denver Nuggets,117,Box Score,OT,
Fri Dec 15 2017,9:30 pm,San Antonio Spurs,109,Houston Rockets,124,Box Score,,
Fri Dec 15 2017,7:00 pm,Detroit Pistons,104,Indiana Pacers,98,Box Score,,
Fri Dec 15 2017,8:00 pm,Atlanta Hawks,94,Memphis Grizzlies,96,Box Score,,
Fri Dec 15 2017,8:00 pm,Chicago Bulls,115,Milwaukee Bucks,109,Box Score,,
Fri Dec 15 2017,7:00 pm,Portland Trail Blazers,95,Orlando Magic,88,Box Score,,
Fri Dec 15 2017,7:00 pm,Oklahoma City Thunder,119,Philadelphia 76ers,117,Box Score,3OT,
Fri Dec 15 2017,7:30 pm,Brooklyn Nets,87,Toronto Raptors,120,Box Score,,
Fri Dec 15 2017,7:00 pm,Los Angeles Clippers,91,Washington Wizards,100,Box Score,,
Sat Dec 16 2017,7:00 pm,Portland Trail Blazers,93,Charlotte Hornets,91,Box Score,,
Sat Dec 16 2017,7:30 pm,Utah Jazz,100,Cleveland Cavaliers,109,Box Score,,
Sat Dec 16 2017,8:00 pm,Milwaukee Bucks,111,Houston Rockets,115,Box Score,,
Sat Dec 16 2017,9:00 pm,Boston Celtics,102,Memphis Grizzlies,93,Box Score,,
Sat Dec 16 2017,8:00 pm,Los Angeles Clippers,85,Miami Heat,90,Box Score,,
Sat Dec 16 2017,8:00 pm,Phoenix Suns,108,Minnesota Timberwolves,106,Box Score,,
Sat Dec 16 2017,7:30 pm,Oklahoma City Thunder,96,New York Knicks,111,Box Score,,
Sat Dec 16 2017,8:30 pm,Dallas Mavericks,96,San Antonio Spurs,98,Box Score,,
Sun Dec 17 2017,6:00 pm,Indiana Pacers,109,Brooklyn Nets,97,Box Score,,
Sun Dec 17 2017,4:00 pm,Orlando Magic,110,Detroit Pistons,114,Box Score,,
Sun Dec 17 2017,3:30 pm,Sacramento Kings,93,Toronto Raptors,108,Box Score,,
Sun Dec 17 2017,6:00 pm,Cleveland Cavaliers,106,Washington Wizards,99,Box Score,,
Mon Dec 18 2017,7:30 pm,Miami Heat,104,Atlanta Hawks,110,Box Score,,
Mon Dec 18 2017,8:00 pm,Philadelphia 76ers,115,Chicago Bulls,117,Box Score,,
Mon Dec 18 2017,7:00 pm,New York Knicks,91,Charlotte Hornets,109,Box Score,,
Mon Dec 18 2017,8:30 pm,Phoenix Suns,97,Dallas Mavericks,91,Box Score,,
Mon Dec 18 2017,8:00 pm,Utah Jazz,99,Houston Rockets,120,Box Score,,
Mon Dec 18 2017,7:00 pm,Boston Celtics,112,Indiana Pacers,111,Box Score,,
Mon Dec 18 2017,10:30 pm,Golden State Warriors,116,Los Angeles Lakers,114,Box Score,OT,
Mon Dec 18 2017,8:00 pm,Portland Trail Blazers,107,Minnesota Timberwolves,108,Box Score,,
Mon Dec 18 2017,8:00 pm,Denver Nuggets,94,Oklahoma City Thunder,95,Box Score,,
Mon Dec 18 2017,8:30 pm,Los Angeles Clippers,91,San Antonio Spurs,109,Box Score,,
Tue Dec 19 2017,8:00 pm,Cleveland Cavaliers,116,Milwaukee Bucks,119,Box Score,,
Tue Dec 19 2017,7:00 pm,Sacramento Kings,101,Philadelphia 76ers,95,Box Score,,
Tue Dec 19 2017,7:00 pm,New Orleans Pelicans,106,Washington Wizards,116,Box Score,,
Wed Dec 20 2017,7:30 pm,Indiana Pacers,105,Atlanta Hawks,95,Box Score,,
Wed Dec 20 2017,7:30 pm,Miami Heat,90,Boston Celtics,89,Box Score,,
Wed Dec 20 2017,7:30 pm,Sacramento Kings,104,Brooklyn Nets,99,Box Score,,
Wed Dec 20 2017,8:00 pm,Orlando Magic,94,Chicago Bulls,112,Box Score,,
Wed Dec 20 2017,7:00 pm,Toronto Raptors,129,Charlotte Hornets,111,Box Score,,
Wed Dec 20 2017,8:30 pm,Detroit Pistons,93,Dallas Mavericks,110,Box Score,,
Wed Dec 20 2017,9:00 pm,Minnesota Timberwolves,112,Denver Nuggets,104,Box Score,,
Wed Dec 20 2017,10:30 pm,Memphis Grizzlies,84,Golden State Warriors,97,Box Score,,
Wed Dec 20 2017,8:00 pm,Los Angeles Lakers,122,Houston Rockets,116,Box Score,,
Wed Dec 20 2017,10:30 pm,Phoenix Suns,95,Los Angeles Clippers,108,Box Score,,
Wed Dec 20 2017,8:00 pm,Utah Jazz,79,Oklahoma City Thunder,107,Box Score,,
Wed Dec 20 2017,10:00 pm,San Antonio Spurs,93,Portland Trail Blazers,91,Box Score,,
Thu Dec 21 2017,7:00 pm,Chicago Bulls,112,Cleveland Cavaliers,115,Box Score,,
Thu Dec 21 2017,8:00 pm,Boston Celtics,93,New York Knicks,102,Box Score,,
Thu Dec 21 2017,7:00 pm,Toronto Raptors,114,Philadelphia 76ers,109,Box Score,,
Thu Dec 21 2017,9:00 pm,Memphis Grizzlies,95,Phoenix Suns,97,Box Score,,
Thu Dec 21 2017,10:30 pm,San Antonio Spurs,89,Utah Jazz,100,Box Score,,
Fri Dec 22 2017,7:30 pm,Washington Wizards,84,Brooklyn Nets,119,Box Score,,
Fri Dec 22 2017,7:00 pm,New York Knicks,101,Detroit Pistons,104,Box Score,,
Fri Dec 22 2017,10:30 pm,Los Angeles Lakers,106,Golden State Warriors,113,Box Score,,
Fri Dec 22 2017,8:00 pm,Los Angeles Clippers,128,Houston Rockets,118,Box Score,,
Fri Dec 22 2017,8:00 pm,Dallas Mavericks,101,Miami Heat,113,Box Score,,
Fri Dec 22 2017,8:00 pm,Charlotte Hornets,104,Milwaukee Bucks,109,Box Score,,
Fri Dec 22 2017,8:00 pm,Atlanta Hawks,117,Oklahoma City Thunder,120,Box Score,,
Fri Dec 22 2017,7:00 pm,New Orleans Pelicans,111,Orlando Magic,97,Box Score,,
Fri Dec 22 2017,10:00 pm,Denver Nuggets,102,Portland Trail Blazers,85,Box Score,,
Sat Dec 23 2017,7:30 pm,Dallas Mavericks,107,Atlanta Hawks,112,Box Score,,
Sat Dec 23 2017,7:30 pm,Chicago Bulls,92,Boston Celtics,117,Box Score,,
Sat Dec 23 2017,7:00 pm,Milwaukee Bucks,106,Charlotte Hornets,111,Box Score,,
Sat Dec 23 2017,8:30 pm,Denver Nuggets,96,Golden State Warriors,81,Box Score,,
Sat Dec 23 2017,7:00 pm,Brooklyn Nets,119,Indiana Pacers,123,Box Score,OT,
Sat Dec 23 2017,9:30 pm,Portland Trail Blazers,95,Los Angeles Lakers,92,Box Score,,
Sat Dec 23 2017,8:00 pm,Los Angeles Clippers,112,Memphis Grizzlies,115,Box Score,,
Sat Dec 23 2017,8:00 pm,New Orleans Pelicans,109,Miami Heat,94,Box Score,,
Sat Dec 23 2017,9:00 pm,Minnesota Timberwolves,115,Phoenix Suns,106,Box Score,,
Sat Dec 23 2017,10:00 pm,San Antonio Spurs,108,Sacramento Kings,99,Box Score,,
Sat Dec 23 2017,5:00 pm,Philadelphia 76ers,86,Toronto Raptors,102,Box Score,,
Sat Dec 23 2017,8:00 pm,Oklahoma City Thunder,103,Utah Jazz,89,Box Score,,
Sat Dec 23 2017,7:00 pm,Orlando Magic,103,Washington Wizards,130,Box Score,,
Mon Dec 25 2017,5:30 pm,Washington Wizards,111,Boston Celtics,103,Box Score,,
Mon Dec 25 2017,3:00 pm,Cleveland Cavaliers,92,Golden State Warriors,99,Box Score,,
Mon Dec 25 2017,10:30 pm,Minnesota Timberwolves,121,Los Angeles Lakers,104,Box Score,,
Mon Dec 25 2017,12:00 pm,Philadelphia 76ers,105,New York Knicks,98,Box Score,,
Mon Dec 25 2017,8:00 pm,Houston Rockets,107,Oklahoma City Thunder,112,Box Score,,
Tue Dec 26 2017,7:00 pm,Toronto Raptors,93,Dallas Mavericks,98,Box Score,,
Tue Dec 26 2017,9:00 pm,Utah Jazz,83,Denver Nuggets,107,Box Score,,
Tue Dec 26 2017,7:00 pm,Indiana Pacers,83,Detroit Pistons,107,Box Score,,
Tue Dec 26 2017,10:30 pm,Sacramento Kings,95,Los Angeles Clippers,122,Box Score,,
Tue Dec 26 2017,7:30 pm,Orlando Magic,89,Miami Heat,107,Box Score,,
Tue Dec 26 2017,8:00 pm,Chicago Bulls,115,Milwaukee Bucks,106,Box Score,,
Tue Dec 26 2017,9:00 pm,Memphis Grizzlies,97,Phoenix Suns,99,Box Score,,
Tue Dec 26 2017,8:30 pm,Brooklyn Nets,97,San Antonio Spurs,109,Box Score,,
Wed Dec 27 2017,7:30 pm,Washington Wizards,99,Atlanta Hawks,113,Box Score,,
Wed Dec 27 2017,8:00 pm,New York Knicks,87,Chicago Bulls,92,Box Score,,
Wed Dec 27 2017,7:00 pm,Boston Celtics,102,Charlotte Hornets,91,Box Score,,
Wed Dec 27 2017,10:30 pm,Utah Jazz,101,Golden State Warriors,126,Box Score,,
Wed Dec 27 2017,7:00 pm,Dallas Mavericks,98,Indiana Pacers,94,Box Score,,
Wed Dec 27 2017,10:30 pm,Memphis Grizzlies,109,Los Angeles Lakers,99,Box Score,,
Wed Dec 27 2017,8:00 pm,Denver Nuggets,125,Minnesota Timberwolves,128,Box Score,OT,
Wed Dec 27 2017,8:00 pm,Brooklyn Nets,113,New Orleans Pelicans,128,Box Score,,
Wed Dec 27 2017,8:00 pm,Toronto Raptors,107,Oklahoma City Thunder,124,Box Score,,
Wed Dec 27 2017,10:00 pm,Cleveland Cavaliers,95,Sacramento Kings,109,Box Score,,
Thu Dec 28 2017,8:00 pm,Houston Rockets,98,Boston Celtics,99,Box Score,,
Thu Dec 28 2017,8:00 pm,Minnesota Timberwolves,96,Milwaukee Bucks,102,Box Score,,
Thu Dec 28 2017,7:00 pm,Detroit Pistons,89,Orlando Magic,102,Box Score,,
Thu Dec 28 2017,10:30 pm,Philadelphia 76ers,110,Portland Trail Blazers,114,Box Score,,
Thu Dec 28 2017,8:30 pm,New York Knicks,107,San Antonio Spurs,119,Box Score,,
Fri Dec 29 2017,8:00 pm,Indiana Pacers,107,Chicago Bulls,119,Box Score,,
Fri Dec 29 2017,10:30 pm,Charlotte Hornets,111,Golden State Warriors,100,Box Score,,
Fri Dec 29 2017,10:30 pm,Los Angeles Clippers,121,Los Angeles Lakers,106,Box Score,,
Fri Dec 29 2017,8:00 pm,Brooklyn Nets,111,Miami Heat,87,Box Score,,
Fri Dec 29 2017,8:00 pm,Dallas Mavericks,128,New Orleans Pelicans,120,Box Score,,
Fri Dec 29 2017,8:00 pm,Milwaukee Bucks,97,Oklahoma City Thunder,95,Box Score,,
Fri Dec 29 2017,10:00 pm,Phoenix Suns,111,Sacramento Kings,101,Box Score,,
Fri Dec 29 2017,7:30 pm,Atlanta Hawks,98,Toronto Raptors,111,Box Score,,
Fri Dec 29 2017,7:00 pm,Houston Rockets,103,Washington Wizards,121,Box Score,,
Sat Dec 30 2017,7:30 pm,Portland Trail Blazers,89,Atlanta Hawks,104,Box Score,,
Sat Dec 30 2017,9:00 pm,Philadelphia 76ers,107,Denver Nuggets,102,Box Score,,
Sat Dec 30 2017,7:00 pm,San Antonio Spurs,79,Detroit Pistons,93,Box Score,,
Sat Dec 30 2017,8:30 pm,Memphis Grizzlies,128,Golden State Warriors,141,Box Score,,
Sat Dec 30 2017,7:00 pm,New York Knicks,105,New Orleans Pelicans,103,Box Score,,
Sat Dec 30 2017,7:00 pm,Miami Heat,117,Orlando Magic,111,Box Score,,
Sat Dec 30 2017,8:00 pm,Cleveland Cavaliers,101,Utah Jazz,104,Box Score,,
Sun Dec 31 2017,5:30 pm,Brooklyn Nets,105,Boston Celtics,108,Box Score,,
Sun Dec 31 2017,7:00 pm,Los Angeles Lakers,142,Houston Rockets,148,Box Score,2OT,
Sun Dec 31 2017,5:00 pm,Minnesota Timberwolves,107,Indiana Pacers,90,Box Score,,
Sun Dec 31 2017,7:00 pm,Charlotte Hornets,98,Los Angeles Clippers,106,Box Score,,
Sun Dec 31 2017,7:00 pm,Dallas Mavericks,116,Oklahoma City Thunder,113,Box Score,,
Sun Dec 31 2017,8:00 pm,Philadelphia 76ers,123,Phoenix Suns,110,Box Score,,
Sun Dec 31 2017,7:00 pm,Memphis Grizzlies,114,Sacramento Kings,96,Box Score,,
Sun Dec 31 2017,3:30 pm,Chicago Bulls,110,Washington Wizards,114,Box Score,,
Mon Jan 1 2018,7:30 pm,Orlando Magic,95,Brooklyn Nets,98,Box Score,,
Mon Jan 1 2018,8:00 pm,Portland Trail Blazers,124,Chicago Bulls,120,Box Score,OT,
Mon Jan 1 2018,8:00 pm,Los Angeles Lakers,96,Minnesota Timberwolves,114,Box Score,,
Mon Jan 1 2018,7:30 pm,Milwaukee Bucks,127,Toronto Raptors,131,Box Score,OT,
Tue Jan 2 2018,7:00 pm,Portland Trail Blazers,110,Cleveland Cavaliers,127,Box Score,,
Tue Jan 2 2018,10:30 pm,Memphis Grizzlies,105,Los Angeles Clippers,113,Box Score,,
Tue Jan 2 2018,7:30 pm,San Antonio Spurs,100,New York Knicks,91,Box Score,,
Tue Jan 2 2018,9:00 pm,Atlanta Hawks,103,Phoenix Suns,104,Box Score,,
Tue Jan 2 2018,10:00 pm,Charlotte Hornets,131,Sacramento Kings,111,Box Score,,
Wed Jan 3 2018,8:00 pm,Cleveland Cavaliers,88,Boston Celtics,102,Box Score,,
Wed Jan 3 2018,7:30 pm,Minnesota Timberwolves,97,Brooklyn Nets,98,Box Score,,
Wed Jan 3 2018,8:00 pm,Toronto Raptors,124,Chicago Bulls,115,Box Score,,
Wed Jan 3 2018,8:30 pm,Golden State Warriors,125,Dallas Mavericks,122,Box Score,,
Wed Jan 3 2018,9:00 pm,Phoenix Suns,111,Denver Nuggets,134,Box Score,,
Wed Jan 3 2018,10:30 pm,Oklahoma City Thunder,133,Los Angeles Lakers,96,Box Score,,
Wed Jan 3 2018,7:30 pm,Detroit Pistons,104,Miami Heat,111,Box Score,,
Wed Jan 3 2018,8:00 pm,Indiana Pacers,101,Milwaukee Bucks,122,Box Score,,
Wed Jan 3 2018,7:00 pm,Houston Rockets,116,Orlando Magic,98,Box Score,,
Wed Jan 3 2018,7:00 pm,San Antonio Spurs,106,Philadelphia 76ers,112,Box Score,,
Wed Jan 3 2018,9:00 pm,New Orleans Pelicans,108,Utah Jazz,98,Box Score,,
Wed Jan 3 2018,7:00 pm,New York Knicks,103,Washington Wizards,121,Box Score,,
Thu Jan 4 2018,8:00 pm,Golden State Warriors,124,Houston Rockets,114,Box Score,,
Thu Jan 4 2018,10:30 pm,Oklahoma City Thunder,127,Los Angeles Clippers,117,Box Score,,
Fri Jan 5 2018,7:00 pm,Minnesota Timberwolves,84,Boston Celtics,91,Box Score,,
Fri Jan 5 2018,8:30 pm,Chicago Bulls,127,Dallas Mavericks,124,Box Score,,
Fri Jan 5 2018,9:00 pm,Utah Jazz,91,Denver Nuggets,99,Box Score,,
Fri Jan 5 2018,10:30 pm,Charlotte Hornets,108,Los Angeles Lakers,94,Box Score,,
Fri Jan 5 2018,9:30 pm,Washington Wizards,102,Memphis Grizzlies,100,Box Score,,
Fri Jan 5 2018,8:00 pm,New York Knicks,103,Miami Heat,107,Box Score,OT,
Fri Jan 5 2018,8:00 pm,Toronto Raptors,129,Milwaukee Bucks,110,Box Score,,
Fri Jan 5 2018,7:00 pm,Detroit Pistons,78,Philadelphia 76ers,114,Box Score,,
Fri Jan 5 2018,10:00 pm,Atlanta Hawks,89,Portland Trail Blazers,110,Box Score,,
